ship_name,operator,url,callsign,IMO_number,MMSI_number,crew,capacity
Le Dumont d'Urville,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-DUMONT-DURVILLE-IMO-9814052-MMSI-578001200,FLDS,9814052,578001200,110,184
Le Laperouse,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-LAPEROUSE-IMO-9814026-MMSI-578000900,FLBD,9814026,578000900,110,184
Le Levant ,Ponant Cruises,http://www.shipspotting.com/gallery/photo.php?lid=2218740,C6ZL7,9159830,311058800,50,90
Le Lyrial,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-LYRIAL-IMO-9704130-MMSI-578000800,FIRS,9704130,578000800,139,264
Le Ponant,Ponant Cruises,https://en.wikipedia.org/wiki/Le_Ponant,FGZZ,8914219,227186000,32,67
Le Soleal,Ponant Cruises,https://www.vesselfinder.com/vessels/LE-SOLEAL-IMO-9641675-MMSI-578000200,FIHV,9641675,578000200,139,264
Funchal,Portuscale Cruises,https://en.wikipedia.org/wiki/MV_Funchal,CSBM,5124162,255971000,155,524
Lisboa,Portuscale Cruises,https://en.wikipedia.org/wiki/MV_Lisboa,CQTK, 5282483,255987000,225,640
Porto,Portuscale Cruises,https://en.wikipedia.org/wiki/MV_Porto,CQUU,6419057,255969000,200,372
Yamal,Poseidon Arctic Voyages,https://www.vesselfinder.com/vessels/YAMAL-IMO-9077549-MMSI-273132400,UCJT,9077549,273132400,189,100
Eugenio Costa,Premier Cruises,https://en.wikipedia.org/wiki/SS_Eugenio_C,C6JR3,8506373,308214000,424,1636
Rembrandt,Premier Cruises,https://www.vesselfinder.com/vessels/REMBRANDT-IMO-0-MMSI-244780323,PC5412,,244780323,11,33
Serenissima ,Premier Cruises,https://www.vesselfinder.com/vessels/SERENISSIMA-IMO-5142657-MMSI-376439000,J8B4685,5142657,376439000,50,118
Caribbean Princess,Princess Cruises,https://en.wikipedia.org/wiki/Caribbean_Princess,ZCDG8,9215490,310423000,1200,3766
